Wavelength (nm)	n	k
1530.7	1.6802	0.0000
1549.8	1.6802	0.0000
1569.4	1.6801	0.0000
1589.6	1.6800	0.0000
1610.2	1.6800	0.0000
1631.4	1.6799	0.0000
1653.1	1.6798	0.0000
1675.5	1.6798	0.0000
1698.4	1.6797	0.0000
1722.0	1.6796	0.0000
1746.3	1.6796	0.0000
1771.2	1.6795	0.0000
1796.9	1.6795	0.0000
1823.3	1.6794	0.0000
1850.5	1.6794	0.0000
1878.6	1.6793	0.0000
1907.5	1.6793	0.0000
1937.3	1.6792	0.0000
1968.0	1.6791	0.0000
1999.8	1.6791	0.0000
2032.5	1.6790	0.0000
2066.4	1.6790	0.0000
2101.4	1.6789	0.0000
2137.7	1.6789	0.0000
2175.2	1.6788	0.0000
2214.0	1.6788	0.0000
2254.3	1.6788	0.0000
2296.0	1.6787	0.0000
2339.3	1.6787	0.0000
2384.3	1.6786	0.0000
2431.1	1.6786	0.0000
2479.7	1.6785	0.0000
